trip_id	departure_time	stop_id	stop_sequence	timepoint	arrival_time
lig1_101	3:52:00	marine	1	0	3:52:00
lig1_101		hached	2	0	
lig1_101	3:58:00	barcelone_sud	3	0	3:58:00
lig1_101		bab_alioua	4	0	
lig1_101		manachou	5	0	
lig1_101		13_aout	6	0	
lig1_101	4:08:00	mohamed_ali	7	0	4:08:00
lig1_101		kabbaria	8	0	
lig1_101		ibn_sina	9	0	
lig1_101		ouardia6	10	0	
lig1_101		cité_ennour	11	0	
lig1_101		echebbi	12	0	
lig1_101	4:20:00	ben_arous	13	0	4:20:00
lig1_102	4:25:00	marine	1	0	4:25:00
lig1_102		hached	2	0	
lig1_102	4:30:00	barcelone_sud	3	0	4:30:00
lig1_102		bab_alioua	4	0	
lig1_102		manachou	5	0	
lig1_102		13_aout	6	0	
lig1_102	4:40:00	mohamed_ali	7	0	4:40:00
lig1_102		kabbaria	8	0	
lig1_102		ibn_sina	9	0	
lig1_102		ouardia6	10	0	
lig1_102		cité_ennour	11	0	
lig1_102		echebbi	12	0	
lig1_102	4:50:00	ben_arous	13	0	4:52:00
ligne1001	4:55:00	marine	1	0	4:55:00
ligne1001		hached	2	0	
ligne1001	5:00:00	barcelone_sud	3	0	5:00:00
ligne1001		bab_alioua	4	0	
ligne1001		manachou	5	0	
ligne1001		13_aout	6	0	
ligne1001	5:10:00	mohamed_ali	7	0	5:10:00
ligne1001		kabbaria	8	0	
ligne1001		ibn_sina	9	0	
ligne1001		ouardia6	10	0	
ligne1001		cité_ennour	11	0	
ligne1001		echebbi	12	0	
ligne1001	5:20:00	ben_arous	13	0	5:20:00
ligne1002	5:39:00	marine	1	0	5:39:00
ligne1002		hached	2	0	
ligne1002	5:45:00	barcelone_sud	3	0	5:45:00
ligne1002		bab_alioua	4	0	
ligne1002		manachou	5	0	
ligne1002		13_aout	6	0	
ligne1002	5:55:00	mohamed_ali	7	0	5:55:00
ligne1002		kabbaria	8	0	
ligne1002		ibn_sina	9	0	
ligne1002		ouardia6	10	0	
ligne1002		cité_ennour	11	0	
ligne1002		echebbi	12	0	
ligne1002	6:07:00	ben_arous	13	0	6:07:00
ligne1003	6:39:00	marine	1	0	6:39:00
ligne1003		hached	2	0	
ligne1003	6:45:00	barcelone_sud	3	0	6:45:00
ligne1003		bab_alioua	4	0	
ligne1003		manachou	5	0	
ligne1003		13_aout	6	0	
ligne1003	6:55:00	mohamed_ali	7	0	6:55:00
ligne1003		kabbaria	8	0	
ligne1003		ibn_sina	9	0	
ligne1003		ouardia6	10	0	
ligne1003		cité_ennour	11	0	
ligne1003		echebbi	12	0	
ligne1003	7:07:00	ben_arous	13	0	7:07:00
ligne1004	4:25:00	ben_arous	1	0	4:25:00
ligne1004		"echebbi_retour	"	2	0	
ligne1004		"ennour_retour	"	3	0	
ligne1004		"ouardia6_retour	"	4	0	
ligne1004		ibnsina_retour	5	0	
ligne1004		"kabbaria_retour	"	6	0	
ligne1004	4:37:00	med ali_retour	7	0	4:37:00
ligne1004		13aout_retour	8	0	
ligne1004		manachou_retour	9	0	
